Module,Function,Haskell,Gallina,Proofs
Core,isTopDmdType,4,8,
Core,isTopRes,3,2,
Core,isTopSig,2,2,
Core,isTupleDataCon,2,2,
Core,isTupleTyCon,3,6,
Core,isTyCoArg,4,2,
Core,isTyCoVar,2,9,
Core,isTyConAssoc,2,2,
Core,isTyConWithSrcDataCons,12,14,
Core,isTyVar,4,2,
Core,isTyVarTy,2,,
Core,isTypeArg,3,2,
Core,isTypeFamilyTyCon,3,6,
Core,isTypeLevPoly,13,,
Core,isTypeSynonymTyCon,3,6,
Core,isUnboxedSumCon,2,3,
Core,isUnboxedSumTyCon,5,10,
Core,isUnboxedSumType,3,,
Core,isUnboxedTupleCon,2,3,
Core,isUnboxedTupleTyCon,5,11,
Core,isUnboxedTupleType,3,,
Core,isUnlifted,,22,
Core,isUnliftedTyCon,10,21,
Core,isUnliftedType,4,,
Core,isUnliftedTypeKind,5,,
Core,isUsedMU,4,7,
Core,isUsedOnce,4,2,
Core,isUsedU,6,15,
Core,isValArg,2,2,
Core,isValidJoinPointType,13,,
Core,isValidTCvSubst,7,,
Core,isValueUnfolding,3,2,
Core,isVanillaAlgTyCon,3,6,
Core,isVanillaDataCon,2,2,
Core,isVisibleArgFlag,3,2,
Core,isVisibleBinder,4,,
Core,isVisibleTcbVis,3,6,
Core,isVisibleTyConBinder,2,2,
Core,isVoidRep,3,2,
Core,isWeakDmd,2,2,
Core,is_TYPE,11,,
Core,is_enum,,16,
Core,kf_abs,,3,
Core,kf_called_once,,3,
Core,kf_used_once,,3,
Core,killFlags,8,7,
Core,killUsageDemand,4,6,
Core,killUsageSig,9,9,
Core,kill_usage,2,5,
Core,kindTyConKeys,8,,
Core,lazyApply1Dmd,9,2,
Core,lazyApply2Dmd,,2,
Core,lazySetIdInfo,2,5,
Core,lcInScopeSet,2,,
Core,lcSubstLeft,2,,
Core,lcSubstRight,2,,
Core,lcTCvSubst,2,,
Core,levityInfo,,3,
Core,liftCoSubst,4,,
Core,liftCoSubstTyVar,6,,
Core,liftCoSubstVarBndr,7,,
Core,liftCoSubstVarBndrCallback,13,,
Core,liftCoSubstWith,3,,
Core,liftCoSubstWithEx,10,,
Core,liftEnvSubst,16,,
Core,liftEnvSubstLeft,2,,
Core,liftEnvSubstRight,2,,
Core,lookupCoVar,2,,
Core,lookupDVarEnv,2,2,
Core,lookupInScope,2,5,
Core,lookupInScope_Directly,3,5,
Core,lookupRnInScope,2,2,
Core,lookupTyConFieldLabel,2,,
Core,lookupTyVar,4,,
Core,lookupVarEnv,1,2,
Core,lookupVarEnv_Directly,1,2,
Core,lookupVarEnv_NF,1,6,
Core,lookupVarSet,1,2,
Core,lookupVarSetByName,1,2,
Core,lookupVarSet_Directly,1,2,
Core,lookupWithDefaultVarEnv,1,2,
Core,ltAlt,2,3,
Core,ltRole,6,,
Core,lubArgStr,4,7,
Core,lubArgUse,4,,
Core,lubCPR,5,11,
Core,lubCount,4,7,
Core,lubDmd,4,5,
Core,lubDmdResult,7,10,
Core,lubDmdType,11,9,
Core,lubExnStr,3,6,
Core,lubStr,13,23,
Core,lubUse,13,,
Core,makeRecoveryTyCon,6,14,
Core,mapCoercion,48,,
Core,mapDVarEnv,2,2,
Core,mapStepResult,5,,
Core,mapType,21,,
Core,mapUnionDVarSet,2,3,
Core,mapUnionVarSet,1,3,
Core,mapVarEnv,1,2,
Core,mapVarSet,2,,
Core,markExnStr,3,6,
Core,markReused,4,12,
Core,markReusedDmd,3,6,
Core,mayHaveCafRefs,5,2,
Core,maybeSubCo,3,,
Core,maybeUnfoldingTemplate,7,2,
Core,mightBeUnsaturatedTyCon,2,2,
Core,minusDVarEnv,2,2,
Core,minusDVarSet,2,2,
Core,minusVarEnv,1,2,
Core,minusVarSet,1,2,
Core,mkAbstractClass,11,,
Core,mkAlgTyCon,27,,
Core,mkAnonBinder,2,,
Core,mkAnonTyConBinder,2,2,
Core,mkAnonTyConBinders,2,6,
Core,mkAppCo,20,,
Core,mkAppCos,4,,
Core,mkAppTy,3,,
Core,mkAppTys,4,,
Core,mkApps,1,2,
Core,mkAxInstCo,21,,
Core,mkAxInstLHS,13,,
Core,mkAxInstRHS,12,,
Core,mkAxiomInstCo,4,,
Core,mkAxiomRuleCo,2,,
Core,mkBothDmdArg,2,2,
Core,mkCallDmd,3,2,
Core,mkCastTy,4,,
Core,mkCharLit,1,2,
Core,mkClass,22,,
Core,mkClassPred,2,,
Core,mkClassTyCon,7,,
Core,mkCleanAnonTyConBinders,6,,
Core,mkClosedStrictSig,2,2,
Core,mkCoApps,1,,
Core,mkCoBind,2,,
Core,mkCoCast,9,,
Core,mkCoVar,2,,
Core,mkCoVarCo,2,,
Core,mkCoVarCos,2,,
Core,mkCoercionTy,2,,
Core,mkCoercionType,8,,
Core,mkCoherenceCo,5,,
Core,mkCoherenceLeftCo,5,,
Core,mkCoherenceRightCo,2,,
Core,mkConApp,6,2,
Core,mkConApp2,4,4,
Core,mkDVarEnv,2,2,
Core,mkDVarSet,2,2,
Core,mkDataCon,69,,
Core,mkDmdType,2,20,
Core,mkDoubleLit,1,2,
Core,mkDoubleLitDouble,3,,
Core,mkEmptyTCvSubst,2,,
Core,mkEqSpec,2,2,
Core,mkExportedLocalVar,3,,
